9G3	-2.766935388	10.14618164
9G2	-2.766761379	10.14619061
9G1	-2.76664881	10.14617795
8G3	-2.74709383	10.14790027
8G2	-2.747024596	10.1478452
8G1	-2.746885959	10.14785308
7G3	-2.746062186	10.14690894
7G2	-2.745940061	10.14713567
7G1	-2.746051708	10.14723089
5G3	-2.701713536	10.17644115
5G2	-2.701844713	10.17630427
5G1	-2.701906571	10.17616237
4G3	-2.713590693	9.981480343
4G2	-2.71368809	9.981404319
4G1	-2.713972153	9.981475398
3G3	-2.714805817	9.9822322
3G2	-2.714896426	9.982062466
3G1	-2.71496742	9.981954256
2G3	-2.717549298	9.983397536
2G2	-2.71752541	9.98358814
2G1	-2.717527589	9.983729124
1G3	-2.706081429	9.906283356
1G2	-2.705970956	9.906478068
1G1	-2.705923179	9.906608826
10G3	-2.756459098	10.01170951
10G2	-2.75652783	10.01158596
10G1	-2.756573427	10.01168738
1R1	-1.84325	9.85428
1R2	-1.84319	9.85432
1R3	-1.84296	9.8543
2R1	-1.92345	9.87756
2R2	-1.92334	9.87753
2R3	-1.9232	9.87755
3R1	-1.92349	9.87788
3R2	-1.92358	9.87833
3R3	-1.92358	9.87844
4R1	-1.92384	9.88122
4R2	-1.92381	9.88139
4R3	-1.92363	9.88129
5R1	-1.92421	9.88111
5R2	-1.92425	9.88126
5R3	-1.92417	9.8814
6R1	-1.9597	9.87079
6R2	-1.9598	9.87055
6R3	-1.9598	9.87038
7R1	-1.93129	9.87254
7R2	-1.93122	9.87253
7R3	-1.93102	9.87252
